Field name,Is local?,Source code line,Containing class,A method that uses it,Ordered recommendations
types,true,658,com.thoughtworks.xstream.XStream,setupSecurity,Changes the type from java.util.HashSet to treeSet<linkedHashSet
elements,true,53,com.thoughtworks.xstream.converters.extended.ColorConverter,unmarshal,Changes the type from java.util.HashMap to unifiedMap(EclipseCollections)<linkedHashMap<treeMap<hashedMap(ApacheCommonsCollections)
attributes,true,112,com.thoughtworks.xstream.converters.extended.FontConverter,unmarshal,Changes the type from java.util.HashMap to unifiedMap(EclipseCollections)<hashedMap(ApacheCommonsCollections)
systemAttributes,true,229,com.thoughtworks.xstream.converters.extended.ToAttributedValueConverter,unmarshal,Changes the type from java.util.HashSet to treeSet<linkedHashSet
seenFields,true,276,com.thoughtworks.xstream.converters.extended.ToAttributedValueConverter,unmarshal,Changes the type from java.util.HashSet to treeSet<linkedHashSet
propertyNameCache,false,117,com.thoughtworks.xstream.converters.javabean.PropertyDictionary,buildMap,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<linkedHashMap<treeMap<hashedMap(ApacheCommonsCollections)<hashMap<synchronizedUnifiedMap(EclipseCollections)<concurrentHashMap<hashtable<concurrentHashMap(EclipseCollections)<synchronizedLinkedHashMap<concurrentSkipListMap<synchronizedHashMap<staticBucketMap(ApacheCommonsCollections)<synchronizedTreeMap
instanceMaps,false,115,com.thoughtworks.xstream.converters.reflection.AbstractAttributedCharacterIteratorAttributeConverter,readResolve,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<linkedHashMap<treeMap<hashedMap(ApacheCommonsCollections)<hashMap<synchronizedUnifiedMap(EclipseCollections)<concurrentHashMap<hashtable<concurrentHashMap(EclipseCollections)<synchronizedLinkedHashMap<concurrentSkipListMap<synchronizedHashMap<staticBucketMap(ApacheCommonsCollections)<synchronizedTreeMap
attributeMap,false,143,com.thoughtworks.xstream.converters.reflection.AbstractAttributedCharacterIteratorAttributeConverter,readResolve,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<hashedMap(ApacheCommonsCollections)<hashMap<linkedHashMap<treeMap<staticBucketMap(ApacheCommonsCollections)<concurrentHashMap<concurrentHashMap(EclipseCollections)<hashtable<synchronizedHashMap<synchronizedUnifiedMap(EclipseCollections)<synchronizedLinkedHashMap<concurrentSkipListMap<synchronizedTreeMap
writtenAttributes,false,137,com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter$1,visit,Changes the type from java.util.Set to treeSet<linkedHashSet<hashSet<unifiedSet(Eclipse Collections)<treeSortedSet(Eclipse Collections)<synchronizedHashSet<synchronizedLinkedHashSet<setFromConcurrentHashMap<concurrentSkipListSet<synchronizedTreeSet<synchronizedUnifiedSet(Eclipse Collections)<synchronizedTreeSortedSet(Eclipse Collections)
val$defaultFieldDefinition,false,118,com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter$1,visit,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<hashedMap(ApacheCommonsCollections)<hashMap<linkedHashMap<treeMap<staticBucketMap(ApacheCommonsCollections)<concurrentHashMap<concurrentHashMap(EclipseCollections)<hashtable<synchronizedHashMap<synchronizedUnifiedMap(EclipseCollections)<synchronizedLinkedHashMap<concurrentSkipListMap<synchronizedTreeMap
hiddenMappers,true,155,com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter$2,<init>,Changes the type from java.util.HashMap to unifiedMap(EclipseCollections)<linkedHashMap<treeMap<hashedMap(ApacheCommonsCollections)
fieldCache,false,701,com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter$MappingList,add,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<linkedHashMap<treeMap<hashedMap(ApacheCommonsCollections)<hashMap<synchronizedUnifiedMap(EclipseCollections)<concurrentHashMap<hashtable<concurrentHashMap(EclipseCollections)<synchronizedLinkedHashMap<concurrentSkipListMap<synchronizedHashMap<staticBucketMap(ApacheCommonsCollections)<synchronizedTreeMap
fieldCache,false,182,com.thoughtworks.xstream.converters.reflection.CGLIBEnhancedConverter,getCallbacks,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<linkedHashMap<treeMap<hashedMap(ApacheCommonsCollections)<hashMap<synchronizedUnifiedMap(EclipseCollections)<concurrentHashMap<hashtable<concurrentHashMap(EclipseCollections)<synchronizedLinkedHashMap<concurrentSkipListMap<synchronizedHashMap<staticBucketMap(ApacheCommonsCollections)<synchronizedTreeMap
interfaces,true,243,com.thoughtworks.xstream.converters.reflection.CGLIBEnhancedConverter,createCallbackIndexMap,Changes the type from java.util.HashSet to linkedHashSet<treeSortedSet(Eclipse Collections)<treeSet<unifiedSet(Eclipse Collections)
methods,true,247,com.thoughtworks.xstream.converters.reflection.CGLIBEnhancedConverter,createCallbackIndexMap,Changes the type from java.util.HashSet to linkedHashSet<treeSortedSet(Eclipse Collections)<treeSet<unifiedSet(Eclipse Collections)
serializedDataCache,false,100,com.thoughtworks.xstream.converters.reflection.PureJavaReflectionProvider,instantiateUsingSerialization,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<linkedHashMap<treeMap<hashedMap(ApacheCommonsCollections)<hashMap<synchronizedUnifiedMap(EclipseCollections)<concurrentHashMap<hashtable<concurrentHashMap(EclipseCollections)<synchronizedLinkedHashMap<concurrentSkipListMap<synchronizedHashMap<staticBucketMap(ApacheCommonsCollections)<synchronizedTreeMap
map,false,41,com.thoughtworks.xstream.converters.reflection.SortableFieldKeySorter,sort,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<linkedHashMap<treeMap<hashedMap(ApacheCommonsCollections)<hashMap<synchronizedUnifiedMap(EclipseCollections)<concurrentHashMap<hashtable<concurrentHashMap(EclipseCollections)<synchronizedLinkedHashMap<concurrentSkipListMap<synchronizedHashMap<staticBucketMap(ApacheCommonsCollections)<synchronizedTreeMap
