Pacote,Concrete Type,Call Method Name,Field Name,Metodo,Line Code,Class,Ocorrencias,Into Loop,Loops Info,Inside Recursive Method
java/util/List,Ljava/util/ArrayList,build,elements,size,193,Lcom/thoughtworks/xstream/io/xml/xppdom/XppDom>,4,true,1) 2;O1;1; ,false
java/util/List,Ljava/util/ArrayList,build,elements,randomGet,195,Lcom/thoughtworks/xstream/io/xml/xppdom/XppDom>,4,true,1) 2;O1;1; ,false
java/util/List,Ljava/util/List,addChild,childList,add(value),106,Lcom/thoughtworks/xstream/io/xml/xppdom/XppDom>,4,true,1) 2;O1;1; ,false
java/util/Map,Ljava/util/Map,addChild,childMap,put(key;value),107,Lcom/thoughtworks/xstream/io/xml/xppdom/XppDom>,4,true,1) 2;O1;1; ,false
java/util/List,Ljava/util/ArrayList,build,elements,add(value),199,Lcom/thoughtworks/xstream/io/xml/xppdom/XppDom>,4,true,1) 2;O1;1; ,false
java/util/List,Ljava/util/ArrayList,build,values,add(value),200,Lcom/thoughtworks/xstream/io/xml/xppdom/XppDom>,4,true,1) 2;O1;1; ,false
java/util/Map,Ljava/util/Map,setAttribute,attributes,put(key;value),89,Lcom/thoughtworks/xstream/io/xml/xppdom/XppDom>,4,true,1) 2;O1;1; 2) 2;ON;null; ,false
java/util/List,Ljava/util/ArrayList,build,values,size,209,Lcom/thoughtworks/xstream/io/xml/xppdom/XppDom>,4,true,1) 2;O1;1; ,false
java/util/List,Ljava/util/ArrayList,build,values,randomGet,210,Lcom/thoughtworks/xstream/io/xml/xppdom/XppDom>,4,true,1) 2;O1;1; ,false
java/util/List,Ljava/util/ArrayList,build,elements,size,213,Lcom/thoughtworks/xstream/io/xml/xppdom/XppDom>,4,true,1) 2;O1;1; ,false
java/util/List,Ljava/util/ArrayList,build,elements,remove(middle-index),214,Lcom/thoughtworks/xstream/io/xml/xppdom/XppDom>,4,true,1) 2;O1;1; ,false
java/util/List,Ljava/util/ArrayList,build,values,remove(middle-index),215,Lcom/thoughtworks/xstream/io/xml/xppdom/XppDom>,4,true,1) 2;O1;1; ,false
java/util/Map,Ljava/util/HashMap,<init>,wrapperMap,put(key;value),49,Lcom/thoughtworks/xstream/mapper/MapperWrapper>,64,false,,false
java/util/Map,Ljava/util/HashMap,<init>,wrapperMap,put(key;value),50,Lcom/thoughtworks/xstream/mapper/MapperWrapper>,64,false,,false
java/util/Map,Ljava/util/HashMap,<init>,wrapperMap,put(key;value),51,Lcom/thoughtworks/xstream/mapper/MapperWrapper>,64,false,,false
java/util/Map,Ljava/util/HashMap,<init>,wrapperMap,put(key;value),52,Lcom/thoughtworks/xstream/mapper/MapperWrapper>,64,false,,false
java/util/Map,Ljava/util/HashMap,<init>,wrapperMap,put(key;value),53,Lcom/thoughtworks/xstream/mapper/MapperWrapper>,64,false,,false
java/util/Map,Ljava/util/HashMap,<init>,wrapperMap,put(key;value),54,Lcom/thoughtworks/xstream/mapper/MapperWrapper>,64,false,,false
java/util/Map,Ljava/util/HashMap,<init>,wrapperMap,put(key;value),55,Lcom/thoughtworks/xstream/mapper/MapperWrapper>,64,false,,false
java/util/Map,Ljava/util/HashMap,<init>,wrapperMap,put(key;value),56,Lcom/thoughtworks/xstream/mapper/MapperWrapper>,64,false,,false
java/util/Map,Ljava/util/HashMap,<init>,wrapperMap,put(key;value),57,Lcom/thoughtworks/xstream/mapper/MapperWrapper>,64,false,,false
java/util/Map,Ljava/util/HashMap,<init>,wrapperMap,put(key;value),58,Lcom/thoughtworks/xstream/mapper/MapperWrapper>,64,false,,false
java/util/Map,Ljava/util/HashMap,<init>,wrapperMap,put(key;value),59,Lcom/thoughtworks/xstream/mapper/MapperWrapper>,64,false,,false
java/util/Map,Ljava/util/HashMap,<init>,wrapperMap,put(key;value),60,Lcom/thoughtworks/xstream/mapper/MapperWrapper>,64,false,,false
java/util/Map,Ljava/util/HashMap,<init>,wrapperMap,put(key;value),61,Lcom/thoughtworks/xstream/mapper/MapperWrapper>,64,false,,false
java/util/Map,Ljava/util/HashMap,<init>,wrapperMap,put(key;value),62,Lcom/thoughtworks/xstream/mapper/MapperWrapper>,64,false,,false
java/util/Map,Ljava/util/HashMap,<init>,wrapperMap,put(key;value),63,Lcom/thoughtworks/xstream/mapper/MapperWrapper>,64,false,,false
java/util/Map,Ljava/util/HashMap,<init>,wrapperMap,put(key;value),64,Lcom/thoughtworks/xstream/mapper/MapperWrapper>,64,false,,false
