types,Lcom/thoughtworks/xstream/XStream>,Method that uses the variable:setupSecurity,"Changes the type to ""linkedHashSet""","Not changing, use of unbenched operation, toArray"
stuff,Lcom/thoughtworks/xstream/converters/ErrorWritingException>,Method that uses the variable:add,"Changes the type to ""synchronizedHashMap""","Not changing, change of behavior, LinkedHashSet is ordered"
stuff,Lcom/thoughtworks/xstream/converters/ErrorWritingException>,Method that uses the variable:set,"Changes the type to ""concurrentSkipListMap""","Not changing, change of behavior, LinkedHashSet is ordered"
stuff,Lcom/thoughtworks/xstream/converters/ErrorWritingException>,Method that uses the variable:get,"Changes the type to ""synchronizedHashMap""","Not changing, change of behavior, LinkedHashSet is ordered"
acceptablePatterns,Lcom/thoughtworks/xstream/converters/basic/DateConverter>,Method that uses the variable:<clinit>,"Changes the type to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not changing, use of unbenched operation, toArray"
cache,Lcom/thoughtworks/xstream/converters/basic/StringConverter>,Method that uses the variable:fromString,"Changes the type to ""synchronizedHashMap""","Not changing, change of behavior WeakHashMap"
items,Lcom/thoughtworks/xstream/converters/collections/ArrayConverter>,Method that uses the variable:unmarshal,"Changes the type to ""nodeCachingLinkedList(ApacheCommonsCollections)""",Done
collectionTarget,Lcom/thoughtworks/xstream/converters/collections/TreeSetConverter$1$1>,Method that uses the variable:add,"Changes the type to ""hashMap""","Not doing, variable comes from another class"
strings,Lcom/thoughtworks/xstream/converters/enums/EnumToStringConverter>,Method that uses the variable:fromString,"Changes the type to ""synchronizedHashMap""","Not changing, change of behavior EnumMap"
elements,Lcom/thoughtworks/xstream/converters/extended/ColorConverter>,Method that uses the variable:unmarshal,"Changes the type to ""linkedHashMap""",Done
interfaces,Lcom/thoughtworks/xstream/converters/extended/DynamicProxyConverter>,Method that uses the variable:unmarshal,"Changes the type to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not doing, uses unbenched operation toArray"
bytes,Lcom/thoughtworks/xstream/converters/extended/EncodedByteArrayConverter>,Method that uses the variable:unmarshalIndividualByteElements,"Changes the type to ""fastList(EclipseCollections)""",Done
parameterTypeList,Lcom/thoughtworks/xstream/converters/extended/JavaMethodConverter>,Method that uses the variable:unmarshal,"Changes the type to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not doing, uses unbenched operation toArray"
list,Lcom/thoughtworks/xstream/converters/extended/NamedArrayConverter>,Method that uses the variable:unmarshal,"Changes the type to ""fastList(EclipseCollections)""",Done
seenFields,Lcom/thoughtworks/xstream/converters/extended/ToAttributedValueConverter>,Method that uses the variable:unmarshal,"Changes the type to ""linkedHashSet""",Done
systemAttributes,Lcom/thoughtworks/xstream/converters/extended/ToAttributedValueConverter>,Method that uses the variable:unmarshal,"Changes the type to ""linkedHashSet""","Not doing, uses unbenched operation contains"
result,Lcom/thoughtworks/xstream/converters/javabean/BeanProvider>,Method that uses the variable:getSerializableProperties,"Changes the type to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not doing, uses unbenched operation toArray"
beanProperties,Lcom/thoughtworks/xstream/converters/javabean/PropertyDictionary>,Method that uses the variable:serializablePropertiesFor,"Changes the type to ""nodeCachingLinkedList(ApacheCommonsCollections)""",Done
list,Lcom/thoughtworks/xstream/converters/reflection/CGLIBEnhancedConverter>,Method that uses the variable:getCallbacks,"Changes the type to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not doing, uses unbenched operation toArray"
interfaces,Lcom/thoughtworks/xstream/converters/reflection/CGLIBEnhancedConverter>,Method that uses the variable:unmarshal,"Changes the type to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not doing, uses unbenched operation toArray"
fields,Lcom/thoughtworks/xstream/converters/reflection/CGLIBEnhancedConverter>,Method that uses the variable:getCallbacks,"Changes the type to ""treeList(ApacheCommonsCollections)""","Not doing, comes from another class"
classLoaders,Lcom/thoughtworks/xstream/core/util/CompositeClassLoader>,Method that uses the variable:addInternal,"Changes the type to ""treeList(ApacheCommonsCollections)""","Not doing, conflicting recommendations"
copy,Lcom/thoughtworks/xstream/core/util/CompositeClassLoader>,Method that uses the variable:loadClass,"Changes the type to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not doing, conflicting recommendations"
matchingDependencies,Lcom/thoughtworks/xstream/core/util/DependencyInjectionFactory>,Method that uses the variable:newInstance,"Changes the type to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not doing, uses unbenched operation clear"
valueOrder,Lcom/thoughtworks/xstream/core/util/OrderRetainingMap>,Method that uses the variable:remove,"Changes the type to ""treeList(ApacheCommonsCollections)""","Not doing, uses unbenched operation set and variable is return to other classes"
valueOrder,Lcom/thoughtworks/xstream/core/util/OrderRetainingMap>,Method that uses the variable:put,"Changes the type to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not doing, uses unbenched operation set and variable is return to other classes"
list,Lcom/thoughtworks/xstream/core/util/PresortedMap$ArraySetComparator>,Method that uses the variable:compare,"Changes the type to ""treeList(ApacheCommonsCollections)""","Not doing, uses unbenched operation size"
list,Lcom/thoughtworks/xstream/core/util/PresortedSet>,Method that uses the variable:iterator,"Changes the type to ""arrayList""","Not doing, conflicting recommendations"
list,Lcom/thoughtworks/xstream/core/util/PresortedSet>,Method that uses the variable:add,"Changes the type to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not doing, conflicting recommendations"
list,Lcom/thoughtworks/xstream/core/util/PresortedSet>,Method that uses the variable:last,"Changes the type to ""copyOnWriteArrayList""","Not doing, conflicting recommendations"
list,Lcom/thoughtworks/xstream/core/util/PresortedSet>,Method that uses the variable:first,"Changes the type to ""copyOnWriteArrayList""","Not doing, conflicting recommendations"
set,Lcom/thoughtworks/xstream/core/util/PrioritizedList>,Method that uses the variable:iterator,"Changes the type to ""hashSet""","Not doing, change of behavior. TreeSet is ordered"
map,Lcom/thoughtworks/xstream/core/util/WeakCache>,Method that uses the variable:remove,"Changes the type to ""concurrentSkipListMap""","Not doing, change of behavior. WeakHashMap"
result,Lcom/thoughtworks/xstream/io/path/Path>,Method that uses the variable:<init>,"Changes the type to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not doing, uses unbenched operation toArray"
result,Lcom/thoughtworks/xstream/io/xml/AbstractDocumentWriter>,Method that uses the variable:endNode,"Changes the type to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not doing, variable is returned to other classes and can be used differently"
list,Lcom/thoughtworks/xstream/io/xml/Dom4JReader>,Method that uses the variable:peekNextChild,"Changes the type to ""copyOnWriteArrayList""","Not doing, comes from another class"
childElements,Lcom/thoughtworks/xstream/io/xml/DomReader>,Method that uses the variable:reassignCurrentElement,"Changes the type to ""nodeCachingLinkedList(ApacheCommonsCollections)""","Not doing, variable can be acessed differently from other classes"
